candidate,fold,true_class,predicted_class,count,rate_among_true
HIERARCHICAL,3,Myeloid,Tumor,104,0.0939476061427281
HIERARCHICAL,3,Neutrophil,Endothelial,17,0.051515151515151514
HIERARCHICAL,3,Neutrophil,Mesenchymal,73,0.22121212121212122
HIERARCHICAL,3,Neutrophil,Myeloid,34,0.10303030303030303
HIERARCHICAL,3,Neutrophil,Neutrophil,105,0.3181818181818182
HIERARCHICAL,3,Neutrophil,Plasma cell,9,0.02727272727272727
HIERARCHICAL,3,Neutrophil,T and B,69,0.20909090909090908
HIERARCHICAL,3,Neutrophil,Tumor,23,0.0696969696969697
HIERARCHICAL,3,Plasma cell,Endothelial,6,0.040268456375838924
HIERARCHICAL,3,Plasma cell,Mesenchymal,18,0.12080536912751678
HIERARCHICAL,3,Plasma cell,Myeloid,16,0.10738255033557047
HIERARCHICAL,3,Plasma cell,Neutrophil,11,0.0738255033557047
HIERARCHICAL,3,Plasma cell,Plasma cell,52,0.348993288590604
HIERARCHICAL,3,Plasma cell,T and B,43,0.28859060402684567
HIERARCHICAL,3,Plasma cell,Tumor,3,0.020134228187919462
HIERARCHICAL,3,T and B,Endothelial,85,0.06735340729001585
HIERARCHICAL,3,T and B,Mesenchymal,231,0.18304278922345482
HIERARCHICAL,3,T and B,Myeloid,98,0.07765451664025357
HIERARCHICAL,3,T and B,Neutrophil,227,0.17987321711568938
HIERARCHICAL,3,T and B,Plasma cell,74,0.058637083993660855
HIERARCHICAL,3,T and B,T and B,489,0.38748019017432644
HIERARCHICAL,3,T and B,Tumor,58,0.04595879556259905
HIERARCHICAL,3,Tumor,Endothelial,67,0.04589041095890411
HIERARCHICAL,3,Tumor,Mesenchymal,49,0.03356164383561644
HIERARCHICAL,3,Tumor,Myeloid,16,0.010958904109589041
HIERARCHICAL,3,Tumor,Neutrophil,16,0.010958904109589041
HIERARCHICAL,3,Tumor,Plasma cell,6,0.00410958904109589
HIERARCHICAL,3,Tumor,T and B,7,0.004794520547945206
HIERARCHICAL,3,Tumor,Tumor,1299,0.8897260273972603
HIERARCHICAL,4,Endothelial,Endothelial,2554,0.6295292087749569
HIERARCHICAL,4,Endothelial,Mesenchymal,874,0.21543012077890067
HIERARCHICAL,4,Endothelial,Myeloid,143,0.0352477199901405
HIERARCHICAL,4,Endothelial,Neutrophil,176,0.04338180921863446
