representation,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
PHIKON_V2_SMALL,0,5,T and B,0.5895424836601307,0.5499041978749347,0.5690338860850758,0.8007129747520108,0.6062704305711338,5741
PHIKON_V2_SMALL,0,6,Tumor,0.5323809523809524,0.7697074010327022,0.6294159042927515,0.9186808921412184,0.6758809179970358,2905
PHIKON_V2_SMALL,1,0,Endothelial,0.4176737160120846,0.6197235711617483,0.4990224093848699,0.8064846487298525,0.5260437106592637,2677
PHIKON_V2_SMALL,1,1,Mesenchymal,0.35965103598691384,0.3960134486071086,0.3769573665561779,0.6340424397588482,0.35740526251763666,4164
PHIKON_V2_SMALL,1,2,Myeloid,0.230722525804493,0.1521216973578863,0.1833534378769602,0.5994124772147189,0.20363554316394583,2498
PHIKON_V2_SMALL,1,3,Neutrophil,0.03365384615384615,0.13270142180094788,0.053691275167785234,0.619900728185524,0.029319989312786548,211
PHIKON_V2_SMALL,1,4,Plasma cell,0.30963517305893357,0.39927623642943305,0.34878819810326656,0.7609141391976441,0.2896757478387876,1658
PHIKON_V2_SMALL,1,5,T and B,0.5348200312989045,0.3101883367370093,0.39264684762315094,0.7241445618434423,0.4794317107649398,4407
PHIKON_V2_SMALL,1,6,Tumor,0.6220159151193634,0.5397008055235903,0.5779420825631546,0.9282913400594792,0.598241697378799,869
PHIKON_V2_SMALL,2,0,Endothelial,0.3461397731430662,0.318733153638814,0.33187160147342565,0.7424962087039302,0.3206355023345138,2968
PHIKON_V2_SMALL,2,1,Mesenchymal,0.2494949494949495,0.16649814627569937,0.19971700020214272,0.6782913979306224,0.20996032122997743,2967
PHIKON_V2_SMALL,2,2,Myeloid,0.273696682464455,0.3044051204819277,0.2882352941176471,0.568346419439446,0.25775913616426416,5312
PHIKON_V2_SMALL,2,3,Neutrophil,0.1450381679389313,0.15522875816993464,0.14996053670086817,0.710900600360183,0.11431871508200703,1224
PHIKON_V2_SMALL,2,4,Plasma cell,0.16471571906354515,0.1597729115977291,0.16220666941128037,0.6928399253097945,0.11227198834628387,1233
PHIKON_V2_SMALL,2,5,T and B,0.45902048975512244,0.30936342202761874,0.36961770623742457,0.6788745825274114,0.4295276815297191,5938
PHIKON_V2_SMALL,2,6,Tumor,0.488006190353366,0.7219996183934364,0.5823778376298576,0.8505208894623025,0.5866459907947933,5241
PHIKON_V2_SMALL,3,0,Endothelial,0.4674634794156706,0.5645549318364074,0.5114420632037777,0.8003449728039449,0.5373676356563611,1247
PHIKON_V2_SMALL,3,1,Mesenchymal,0.31716906946264745,0.2088006902502157,0.25182101977107174,0.6623669959748348,0.28272494551574495,1159
PHIKON_V2_SMALL,3,2,Myeloid,0.2577639751552795,0.07497741644083107,0.11616515045486353,0.6162254595615334,0.22127105271362704,1107
PHIKON_V2_SMALL,3,3,Neutrophil,0.13131313131313133,0.3939393939393939,0.19696969696969696,0.7146592807777019,0.12858292648397388,330
PHIKON_V2_SMALL,3,4,Plasma cell,0.10132890365448505,0.40939597315436244,0.16245006657789615,0.7955652560609702,0.09673013456969749,149
PHIKON_V2_SMALL,3,5,T and B,0.424192212096106,0.40570522979397783,0.41474281085459697,0.7739438732264176,0.4150025565829012,1262
PHIKON_V2_SMALL,3,6,Tumor,0.7530211480362538,0.6828767123287671,0.7162356321839081,0.9280854508763056,0.7966178885489101,1460
PHIKON_V2_SMALL,4,0,Endothelial,0.32743231181196075,0.5425191027853093,0.40838667779942484,0.761417721198303,0.37312702804747905,4057
PHIKON_V2_SMALL,4,1,Mesenchymal,0.3787878787878788,0.22522522522522523,0.2824858757062147,0.7090736382774262,0.3426790041722916,5328
PHIKON_V2_SMALL,4,2,Myeloid,0.2540983606557377,0.1482608695652174,0.1872597473915431,0.6105039296376842,0.21754440009957948,4600
PHIKON_V2_SMALL,4,3,Neutrophil,0.2938998245955954,0.44510035419126326,0.35403216339946003,0.74779404958305,0.2873023730106073,3388
PHIKON_V2_SMALL,4,4,Plasma cell,0.43124901559300677,0.6619922630560928,0.5222699093943728,0.8393266222278672,0.5243730954742628,4136
PHIKON_V2_SMALL,4,5,T and B,0.3102310231023102,0.10245231607629428,0.15403523146251535,0.6843373829980188,0.24368298174281955,3670
PHIKON_V2_SMALL,4,6,Tumor,0.6441558441558441,0.6283783783783784,0.636169303120992,0.9284155849522822,0.6833081871779423,3552
PHIKON_V2_CONTEXT,0,0,Endothelial,0.22032265831928727,0.38284518828451886,0.27968821641448877,0.6544213286270277,0.23301652428133765,2390
PHIKON_V2_CONTEXT,0,1,Mesenchymal,0.3122866894197952,0.1086053412462908,0.16116248348745046,0.5913644463916712,0.22891522183667626,3370
PHIKON_V2_CONTEXT,0,2,Myeloid,0.3217665615141956,0.041178845377472746,0.07301360057265568,0.5901299896981204,0.17994275384425618,2477
PHIKON_V2_CONTEXT,0,3,Neutrophil,0.09045226130653267,0.12778904665314403,0.10592686002522068,0.5027807367376528,0.06471403418362001,986
PHIKON_V2_CONTEXT,0,4,Plasma cell,0.15521271622253388,0.24358033749082905,0.1896059394631639,0.6577642159472581,0.12561766480051847,1363
PHIKON_V2_CONTEXT,0,5,T and B,0.5252973830293418,0.5769029785751612,0.5498920803586252,0.7513981948341544,0.52999775516022,5741
PHIKON_V2_CONTEXT,0,6,Tumor,0.4777511324273914,0.617211703958692,0.5386001802343047,0.8851190287315384,0.5521100174276748,2905
PHIKON_V2_CONTEXT,1,0,Endothelial,0.3797768008116334,0.4194994396712738,0.3986510472133475,0.7303153032415844,0.41970581044599575,2677
PHIKON_V2_CONTEXT,1,1,Mesenchymal,0.2957122608079376,0.40081652257444766,0.3403344208809136,0.575167191418092,0.30670716434545264,4164
PHIKON_V2_CONTEXT,1,2,Myeloid,0.16443594646271512,0.0344275420336269,0.05693478980470043,0.5391732376320046,0.16471834356105067,2498
PHIKON_V2_CONTEXT,1,3,Neutrophil,0.04119850187265917,0.10426540284360189,0.05906040268456375,0.5578976369720087,0.03716776210518739,211
PHIKON_V2_CONTEXT,1,4,Plasma cell,0.20345162858531843,0.5048250904704463,0.29002079002079,0.6885934133902607,0.2147943010854672,1658
PHIKON_V2_CONTEXT,1,5,T and B,0.5010799136069114,0.21057408668028138,0.2965329924908133,0.6927692191577833,0.4428277756621556,4407
