candidate,fold,comparison,auroc,auprc,f1,balanced_accuracy,sensitivity,precision,specificity,n_val
MUSK_FOV16,3,neutrophil_vs_tb,0.6791384526725255,0.33908182829523703,0.4176470588235294,0.6337415358017577,0.6454545454545455,0.30869565217391304,0.6220285261489699,1592
MUSK_FOV16,4,neutrophil_vs_myeloid,0.6454737628971818,0.5601447396261038,0.5575723199092456,0.6055764591140085,0.5802833530106257,0.5365720524017468,0.6308695652173913,7988
MUSK_FOV16,4,neutrophil_vs_tb,0.6757009834356875,0.6348758633969168,0.6439578264395782,0.6297364636849403,0.7030696576151122,0.5940149625935162,0.5564032697547684,7058
MUSK_FOV24,0,neutrophil_vs_myeloid,0.605470327008478,0.38363379502784634,0.3603603603603604,0.5591719683153982,0.3448275862068966,0.37735849056603776,0.7735163504238999,3463
MUSK_FOV24,0,neutrophil_vs_tb,0.6980878086628581,0.2568571599863873,0.2834722903384012,0.5800127936380182,0.29310344827586204,0.2744539411206078,0.8669221390001742,6727
MUSK_FOV24,1,neutrophil_vs_myeloid,0.5487480031418499,0.09236951911534809,0.1440677966101695,0.5315816634350135,0.24170616113744076,0.10261569416498995,0.8214571657325861,2709
MUSK_FOV24,1,neutrophil_vs_tb,0.6525379163050598,0.0815138121503969,0.13722126929674097,0.5902995772559166,0.3791469194312796,0.08376963350785341,0.8014522350805536,4618
MUSK_FOV24,2,neutrophil_vs_myeloid,0.5768556763819985,0.2335525518772804,0.19591836734693877,0.5272265532719111,0.1568627450980392,0.2608695652173913,0.8975903614457831,6536
MUSK_FOV24,2,neutrophil_vs_tb,0.6268583918354589,0.2444650978697371,0.3039677202420982,0.5753444635965984,0.369281045751634,0.2582857142857143,0.7814078814415628,7162
MUSK_FOV24,3,neutrophil_vs_myeloid,0.578661958336755,0.26811034080065077,0.3270300333704116,0.5321220333415455,0.44545454545454544,0.2583479789103691,0.6187895212285456,1437
MUSK_FOV24,3,neutrophil_vs_tb,0.6292465062671085,0.2932009086992316,0.3495575221238938,0.5745761897901359,0.47878787878787876,0.27526132404181186,0.6703645007923931,1592
MUSK_FOV24,4,neutrophil_vs_myeloid,0.6130614124018274,0.5246988925288337,0.5609943618657098,0.5809867306606438,0.6461038961038961,0.49569746376811596,0.5158695652173914,7988
MUSK_FOV24,4,neutrophil_vs_tb,0.6466288696441037,0.5940956265145965,0.6391884951206985,0.6069716325289771,0.7346517119244392,0.5656818181818182,0.479291553133515,7058
MUSK_FOV56,0,neutrophil_vs_myeloid,0.5538696371731491,0.3583402394970368,0.33724653148345785,0.5447811549828401,0.3204868154158215,0.35585585585585583,0.7690754945498587,3463
MUSK_FOV56,0,neutrophil_vs_tb,0.7317842584901386,0.30094804289989496,0.25471085120207926,0.5682993365044785,0.19878296146044624,0.35443037974683544,0.9378157115485107,6727
MUSK_FOV56,1,neutrophil_vs_myeloid,0.5634906029088674,0.1090158421227237,0.12307692307692308,0.5203850284018684,0.15165876777251186,0.10355987055016182,0.8891112890312249,2709
MUSK_FOV56,1,neutrophil_vs_tb,0.6518716991602115,0.10951764346593981,0.1436672967863894,0.5582797509778175,0.18009478672985782,0.11949685534591195,0.9364647152257771,4618
MUSK_FOV56,2,neutrophil_vs_myeloid,0.5691297666154815,0.22123137310630792,0.20946538124452233,0.5205411105205134,0.19526143790849673,0.22589792060491493,0.8458207831325302,6536
MUSK_FOV56,2,neutrophil_vs_tb,0.6372540764369069,0.23244185261857697,0.3045780130800374,0.5736181555815321,0.39950980392156865,0.24609964771011575,0.7477265072414955,7162
MUSK_FOV56,3,neutrophil_vs_myeloid,0.6449563384522734,0.3203543912162392,0.41079812206572774,0.6084216145191754,0.5303030303030303,0.33524904214559387,0.6865401987353207,1437
MUSK_FOV56,3,neutrophil_vs_tb,0.6888728809489507,0.3648995642129955,0.3979974968710889,0.6180881717331796,0.4818181818181818,0.3390191897654584,0.7543581616481775,1592
MUSK_FOV56,4,neutrophil_vs_myeloid,0.5823162953647143,0.4906898872832059,0.5173026945698264,0.5582036343103537,0.55814639905549,0.4820290593933214,0.5582608695652174,7988
MUSK_FOV56,4,neutrophil_vs_tb,0.6844033598306573,0.6410513078722533,0.6691290361015132,0.6150849769502233,0.8288075560802833,0.561038961038961,0.4013623978201635,7058
